model,temperature,doc,text,domain,main_LAD,annotators_choice,recoded_choice,api_result,chosen_option,reasoning
gemma2:latest,0.75,"now US firm Westinghouse owns the Spring fields factory which is the only site in the UK producing fuel for reactors for electricity generation. The Prospect and Untie unions have been campaigning to retain skilled jobs at the site which are under pressure as only one new nuclear power station is being built despite the fact that the old power stations are coming to the end of their life. Fylde MP Mark Menzies recently lobbied the energy minister about the future of nuclear skills and jobs and was told an announcement is in the pipeline. The huge nuclear fuel factory at Springfields between Preston and Blackpool But unions feel it may be too late as by the time power stations are built UK skilled jobs will have long gone. They say that maintaining sovereign capability in nuclear fuel manufacture was essential for achieving net zero. The statement says: “We are increasingly concerned that the current ownership model is becoming a potential obstacle to preserving the site and the jobs that depend on it. “Westinghouse, the current owners, have so far failed to provide cast-iron guarantees on the future of fuel manufacturing at the site and have failed to bring in additional work either from their own reactors abroad or to fuel the reactors of their competitors. “Unless this situation changes, we believe that the government should consider an alternative ownership structure that will maximise the possibility of protecting the site and maintaining this vital sovereign capability.” The Uranium Oxide plant at Springfields The unions point to the National Nuclear Laboratory and Nuclear Decommissioning Authority as potential owners. A Westinghouse spokesman said: “Westinghouse is committed to the UK and we are working with our partners to secure the long term future of nuclear fuel manufacturing at Springfields.” A department for Business, Energy and Industrial Strategy spokesman said: “Nuclear power has a key role to play in the UK’s low-carbon energy future and we intend to approve at least one large-scale nuclear project in the next three years in order to strengthen our energy security, and create thousands of jobs across the country. “We recognise how important it is that we can manufacture fuel here in the UK and maintain a skilled workforce in the sector.",Fylde,blackpoolgazette.co.uk,Blackpool,Fylde,Fylde,,Fylde,"The article states that Springfields, where Fylde MP Mark Menzies lobbied about nuclear jobs, is between Preston and Blackpool."
gemma2:latest,0.75,"Judge gives carer suspended prison sentence over ‘significant level of premeditation’ A woman who claimed she forgot she had divorced her husband has been given a suspended prison sentence after falsely trying to claim his estate. Carer Bernadette O'Loughlin appeared at Letterkenny Circuit Court in Co Donegal where she pleaded guilty to using a form to get letters of administration to Keith O'Loughlin's estate. Mr O'Loughlin had died in 2006 and he had left a house in Findrum, Convoy. The 56-year-old accused had divorced Mr O'Loughlin in Northern Ireland in 2002. However, when interviewed by gardaí in Letterkenny in September 2019, she claimed she had no memory of getting a divorce. She added that she did not think any such divorce would have any impact on any matters in the Republic of Ireland. Detective Garda Peter Cullen gave evidence in the case and told how the couple had two children together. However, after they divorced, Mr O'Loughlin met another woman, remarried and they had a son Conor O'Loughlin. Det Cullen said: ""Bernadette O'Loughlin made an application in Letterkenny for letters of administration by submitting documents holding herself out to be the legal wife although she was actually divorced at the time. ""We got a statement from the probate office that if they had been made aware of the divorce outside Ireland, the matter would have had to be referred to the court for all parties. His three lawful children would have been entitled to his estate."" The house left in the estate of Keith O'Loughlin, who died aged 39 years, was valued at €179,000 in 2009 but had depreciated greatly and sold in 2017 for just €20,000. Ms O'Loughlin claimed for two thirds of the estate and his three children got a ninth each. Conor O'Loughlin's mother Karen, who married Mr O'Loughlin, told how the issue had impacted her son greatly. She said it was used in an ""opportunistic and devious way"". Student Conor O'Loughlin, who was just four when his father had died, said he was angry at the manner in which his father's first wife was allowed to carry out what she did. He told the court: ""What was rightly mine was taken away from me so cruelly. I'm angry this was allowed to happen to me by professional people."" The court heard the house when sold was in a dilapidated state and fetched only €20,000. A cheque for Conor O'Loughlin in the sum of €3,150 was in court for him as part of what he was entitled to from the sale of the house. Barrister for Ms O'Loughlin, Mr Shane Costello, said that his client was very sorry for the hurt she had caused Conor and said his client was suffering from psychological and alcohol-related issues. Judge John Aylmer said there was a ""significant level of premeditation"" in what Ms O'Loughlin, of Greeve Park, Strabane, Co Tyrone, had done which helped her benefit. He said he placed it in the mid-range of such offences and merited a sentence of four years in prison before mitigation. He added she had entered an early plea, had no previous convictions and claimed she could not recall getting a divorce. He reduced the sentence to one of three years and said he was going to suspend the sentence on condition that Ms O'Loughlin enter a bond to keep the peace and be of good behaviour for three years.",Greeve Park,belfasttelegraph.co.uk,Belfast,NA,Derry and Strabane,,Strabane,"The article states that Ms O'Loughlin, of Greeve Park, Strabane, Co Tyrone, had done."
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Hadway Common,herefordtimes.com,"Herefordshire, County of",NA,"Herefordshire, County of",,Herefordshire,The article states that the event takes place 'between Leominster and Ludlow on the border of Herefordshire and Shropshire.'
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Herefordshire,herefordtimes.com,"Herefordshire, County of","Herefordshire, County of","Herefordshire, County of",,Herefordshire,The article states that the event takes place 'on the border of Herefordshire and Shropshire'.
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Hertfordshire,herefordtimes.com,"Herefordshire, County of",East Hertfordshire,East Hertfordshire,,Hertfordshire,The article states that racers have travelled from as far and wide as Plymouth and Hertfordshire.
gemma2:latest,0.75,"Mini First Aid Suffolk go around the county, educating children on what they should do if someone needs medical help. The idea of Mini First Aid, was taken onto Dragons' Den last year, where they received £50,000 investment from Sara Davies MBE and has 70 franchises including in Suffolk. With funding from Ipswich Opportunity Area, 53 primary schools, nurseries and preschools across Ipswich will benefit from the training. Children at Highfield - Whitehouse Early Years benefitted from this training most recently, from one of the first aiders Naomi Cooper, and 'Big Ted'. Naomi said: ""It is very important to teach children first aid. ""You do see in papers from time to time that children from as young as three do actually ring 999 and get help so it is really important."" In these classes, students were taught how to use ice packs on bumps, how to put plasters on and how to call 999 and what to say. Naomi continued: ""I take a giant teddy along and we do wet bleeds, and use toy phones to practice calling 999, and we have a song which helps them remember the number, and we talk about the importance of knowing where they live. ""We also cover real basics of the recovery position but in a way that isn't scary. ""Obviously at that age, we don't want to go too far and scare the kids, but the way we teach the recovery position is a really fun way and the kids really enjoy it and the amount of information they retain is amazing."" Since September 2020, first aid training has been part of the national curriculum, which is being fulfilled by Mini First Aid. Naomi said: ""The kids love the sessions, I think it is mainly down to Big Ted though, they see him and they are so happy."" The children practice their first aid on Big Ted, learning how to put plasters on and ice packs.",Ipswich Opportunity Area,ipswichstar.co.uk,Ipswich,NA,Ipswich,,Ipswich,The article states that funding from Ipswich Opportunity Area will benefit schools across Ipswich.
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Leominster,herefordtimes.com,"Herefordshire, County of",LAD not in options,"Herefordshire, County of",,Herefordshire,The article states that the event takes place 'between Leominster and Ludlow on the border of Herefordshire and Shropshire.'
gemma2:latest,0.75,"Before Ipswich Crown Court is Tony Constantine, 37, of Cordell Place, Long Melford who has pleaded not guilty to causing grievous bodily harm with intent to cause grievous bodily harm on September 17 last year. Giving evidence during his trial Constantine claimed the alleged victim has been armed with a hammer and had swung it at him. “I was fearful for my life if I got hit over the head with a hammer,” said Constantin. The court has heard that there was a background of ill feeling between Constantine and the alleged victim which had resulted in an exchange of messages in the days leading up to the alleged attack. Constantine claimed that in one message the alleged victim suggested they arranged “a meet” adding: “No tools. Just you and me. One on one.” Constantine said he had wanted to meet the alleged victim to have a conversation with him and to get their issues sorted out. He claimed that when they met up near the junction of the A134 and Springlands Avenue between Sudbury and Long Melford the alleged victim had hit him on the shoulder with a hammer and he had bitten him on the nose in self-defence while trying to get hold of the hammer. Matthew Bagnall, prosecuting, has claimed that Constantine had gone over to the alleged victim’s van without waiting for him to get out and attacked him. He claimed that Constantine held the man in the van and bit his nose causing a “significant” crescent-shaped wound. He said Constantine claimed that the alleged victim had a hammer and that he only bit his nose in order to defend himself from being attacked with the hammer. Mr Bagnall said it wasn’t disputed that there was a hammer in the van and the issue was at what stage the alleged victim had taken hold of it. During his evidence, the alleged victim of the attack denied he had been intent on using serious violence against Constantine. The jury retired to consider its verdict on Monday afternoon (November 14) and is expected to continue its deliberations on Tuesday (November 15).",Long Melford,eadt.co.uk,Peterborough,Babergh,Babergh,,Babergh,"The article mentions Long Melford and its proximity to Sudbury, which are both within Babergh District."
gemma2:latest,0.75,"By Sian Bayley, local democracy reporter Big changes could soon be coming to the streets of Wandsworth as new plans for improvements along Putney High Street and Wandsworth Town Centre have been unveiled by the council. Putney has already seen a number of improvement works since September 2019 and could see some more changes in the future. This week the council announced that it had received a further £1.058m in funding from the Government from the Future High Streets initiative to help increase footfall on the high street. Wandsworth council hopes to split this into three projects which include: The Library Community and Incubator Hub – This could see a combined workspace and community hub brought to the high street using the existing library. The plan includes provision of 110sqm of affordable workspace, new meeting rooms and a community café. – This could see a combined workspace and community hub brought to the high street using the existing library. The plan includes provision of 110sqm of affordable workspace, new meeting rooms and a community café. Lower Richmond Road Junction – The council wants to give pedestrians more crossing facilities to help them access the northern end of the high street and the Thames. The plan includes a reduction in the number of signalised pedestrian crossing stages and traffic islands to make the pedestrian crossing simpler and easier to navigate. – The council wants to give pedestrians more crossing facilities to help them access the northern end of the high street and the Thames. The plan includes a reduction in the number of signalised pedestrian crossing stages and traffic islands to make the pedestrian crossing simpler and easier to navigate. Putney Embankment Extension – The proposal seeks to extend the Putney Embankment towards the high street and enhance the existing waterfront areas access. It could see a new kiosk building on Lower Richmond Road which combines a bus stop, improved access and coffee shop. The planning document for the future of the Wandle Delta area was also discussed at the council’s planning and transport committee last week (February 4). The Wandle Delta includes a number of sites north of Wandsworth Town Centre and south of the River Thames. Historically, it has been home to a lot of retail warehouses and industrial uses, but the redevelopment will look to increase the residential and leisure areas and provide new areas of public open space. Planning documents say: “The area will be transformed by creating an accessible and permeable network of streets and spaces, making it easy and enjoyable to get around on foot and by bike and supporting the intensification of uses.” Currently it is home to buildings associated with electricity, the former gas holders, waste and recycling facilities and ongoing access to Thames Tideway infrastructure which make it difficult and confusing to get around. Developers have recently acquired the vacant former gasworks site plus a neighbouring piece of land in Swandon Way – one of the last remaining undeveloped sites in the town centre – which the council hopes will be redeveloped to provide more homes and jobs for local people. The two sites cover 1.4 hectares, stretching from the River Wandle in the west up to Swandon Way in the east. It is expected that more sites will come forward for development in the next few years, so it is important for people to comment on the Supplementary Planning Document (SPD) for the area to help provide guidance on what new developments should look like and offer. A public consultation on the redevelopment of the Wandle Delta area will soon take place for residents to share their thoughts and concerns, and it is expected to be adopted in the spring/summer this year. Share on Social Media x facebook email whatsapp Related",Lower Richmond Road Junction,londonnewsonline.co.uk,Southwark,NA,Richmond,,Wandsworth,"The article discusses improvements to Putney High Street and Wandsworth Town Centre, mentioning Lower Richmond Road Junction as a project location."
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Ludlow,herefordtimes.com,"Herefordshire, County of",Shropshire,Shropshire,,Ludlow,The article explicitly mentions Ludlow as a location.
gemma2:latest,0.75,"Easier access to your trusted, local news. Subscribe to a digital package and support local news publishing. FORRES Mechanics manager Gordon Connelly has said there are ""so many pluses"" after his side's 1-0 defeat against Formartine United. After back-to-back 7-0 home losses in his first two games in charge, followed by a 2-0 defeat at Wick Academy, Connelly was encouraged by the performance in the defeat to Formartine at Mosset Park. A sixth minute goal from Stuart Smith was enough to give the visitors the three points, but the Cans competed well throughout. Connelly said: ""So many pluses have come out of the game. ""You can see their fitness levels have improved since we came in and that was a big issue. ""And I actually think the players enjoyed it. They gave us energy, we've just not got the luck in front of goals but I can't fault the effort."" Midfielder Jack Maley, formerly of Rothes, was a new face in the starting line-up for Mechanics, who were behind early on. A Kevin Hanratty cross was headed in at the near post by Formartine defender Stuart Smith to give the visitors the advantage. Forres' first chance came after 18 minutes, with new man Maley finding Callum Johnston whose shot was almost let slip by Ewan Macdonald. Moments later Jack Grant knocked just wide at the near post after a Dale Wood cross. Graeme Rodger had a couple of chances for the visitors before the break, with their best chance coming courtesy of Kevin Hanratty, but his shot was brilliantly blocked by Graham Fraser. Into the second half and the Cans scrapped away, with Lee Fraser's shot at the end of a good counter attack being blocked on the hour mark. Goalkeeper Lee Herbert had to be sharp to deny Rodger on 70 minutes, while substitute Jonny Smith headed just wide for Formartine on 84 minutes. Smith had the ball in the net from a free-kick three minutes later but was adjudged to have been in an offside position. The final chance fell the way of Daniel Park, who cut inside from 25 yards and fired a well-hit effort into the sidenetting. Mechanics have now lost four in a row under their new management team, without scoring. A trip to Strathspey Thistle on Saturday, before a home tie with Fort William after Christmas, gives the Cans the chance to change that. Connelly added: ""There are no easy games. The pyramid system has switched all teams on to the fear of losing and going down because there might not be a route back. ""We don't have the right to beat anybody. Strathspey were unlucky at Wick so they'll be a tough game. ""But it's one we go into with a bit of confidence so we'll hope to build on that.""",Mosset Park,forres-gazette.co.uk,Moray,Moray,Moray,,Forres,The article mentions Mosset Park as the location of a football match involving Forres Mechanics.
gemma2:latest,0.75,"The Family Sex Show was scheduled to appear at arts venue The Garage as part of the Norfolk and Norwich Festival in May. But organisers say that after threats were made to performers they have been forced to ditch it. A festival spokeswoman said organisers stand by the ""intention and processes in creating this show"". Many criticised the show for being unsuitable for children as young as five due to nudity within the performance. More than 38,000 people signed an online petition demanding theatres cancel the production created by performance company This Egg. It stated: ""Children should not be desensitised to the sight of naked adult bodies or introduced to topics surrounding adult sexual pleasure which this production promotes and celebrates."" A banner for The Family Sex Show (Image: This Egg) A spokeswoman for the Norfolk and Norwich Festival has since confirmed the show has been cancelled from all venues. She said: ""The decision has been taken to cancel the performances of This Egg’s The Family Sex Show at The Garage, as part of Norfolk and Norwich Festival. ""In recent days there has been unacceptable threat and abuse directed at both the company and the venues hosting the tour by a small minority, and in order to ensure the safety of the performers, staff and audiences, the show will no longer play at this time at The Garage, as part of Norfolk and Norwich Festival. ""We continue to believe in both the intention and processes in creating this show."" The show was due to be taking place in Norwich from Monday, May 23 to Friday, May 27. The Garage in Norwich (Image: Archant) The festival spokeswoman continued: ""The Family Sex Show is a theatre show which opens up conversations around relationships offering safe and positive learning to children, young people and guardians about bodies and relationships, advised by safeguarding and educational specialists. ""Information regarding the content of the show was made available to bookers coming to see the production."" A social media post by This Egg states there will be performances for an invited audience at The Egg, Theatre Royal Bath, ahead of subsequent public performances in the future. It adds: ""For audiences who booked, or wanted to come to the show, we are sorry. We hope you will be able to soon.""",Norwich,edp24.co.uk,Norwich,LAD not in options,Norwich,,Norwich,The article states that the show was due to take place in Norwich.
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Plymouth,herefordtimes.com,"Herefordshire, County of",LAD not in options,Plymouth,,Plymouth,The article states that racers have travelled from as far and wide as Plymouth.
gemma2:latest,0.75,"Police are appealing for information to help trace a missing girl with links to Stoke-on-Trent. Ella Parnell was last seen wearing a black puffa coat, joggers and trainers three days ago. She is known to frequent Leeds, Hertfordshire, London, as well as the Potteriess. Ella, aged 16, was last seen wearing a black puffa coat, joggers and trainers. Anyone who can help trace Ella should call West Yorkshire Police and quote 1235 08/04/2021.",Potteriess,stokesentinel.co.uk,Stoke-on-Trent,NA,Stoke-on-Trent,,Stoke-on-Trent,The article states that Ella Parnell has links to Stoke-on-Trent and the publisher's domain is stokesentinel.co.uk.
gemma2:latest,0.75,"now US firm Westinghouse owns the Spring fields factory which is the only site in the UK producing fuel for reactors for electricity generation. The Prospect and Untie unions have been campaigning to retain skilled jobs at the site which are under pressure as only one new nuclear power station is being built despite the fact that the old power stations are coming to the end of their life. Fylde MP Mark Menzies recently lobbied the energy minister about the future of nuclear skills and jobs and was told an announcement is in the pipeline. The huge nuclear fuel factory at Springfields between Preston and Blackpool But unions feel it may be too late as by the time power stations are built UK skilled jobs will have long gone. They say that maintaining sovereign capability in nuclear fuel manufacture was essential for achieving net zero. The statement says: “We are increasingly concerned that the current ownership model is becoming a potential obstacle to preserving the site and the jobs that depend on it. “Westinghouse, the current owners, have so far failed to provide cast-iron guarantees on the future of fuel manufacturing at the site and have failed to bring in additional work either from their own reactors abroad or to fuel the reactors of their competitors. “Unless this situation changes, we believe that the government should consider an alternative ownership structure that will maximise the possibility of protecting the site and maintaining this vital sovereign capability.” The Uranium Oxide plant at Springfields The unions point to the National Nuclear Laboratory and Nuclear Decommissioning Authority as potential owners. A Westinghouse spokesman said: “Westinghouse is committed to the UK and we are working with our partners to secure the long term future of nuclear fuel manufacturing at Springfields.” A department for Business, Energy and Industrial Strategy spokesman said: “Nuclear power has a key role to play in the UK’s low-carbon energy future and we intend to approve at least one large-scale nuclear project in the next three years in order to strengthen our energy security, and create thousands of jobs across the country. “We recognise how important it is that we can manufacture fuel here in the UK and maintain a skilled workforce in the sector.",Preston,blackpoolgazette.co.uk,Blackpool,Preston,Preston,,Preston,The article states that Springfields factory is between Preston and Blackpool.
gemma2:latest,0.75,"The annual Soap box Derby returns to the village of Richards Castle, between Leominster and Ludlow on the border of Herefordshire and Shropshire. Downhill Billies tackle the course. Photo: Keith Gluyas. The event, due to take place on Sunday, June 26, has seen a record number of entries, and will see a total of 38 soap boxes hurtling down the track at Hadway Common in the village. Racers have travelled from as far and wide as Plymouth and Hertfordshire as well as some favourite local entries such as the Orleton Primary school red bus, Wallace and Gromit, and the return of the Trotter family with their yellow Reliant Robin. The course is 550m long with a descent of 50m, with parts of the course steeper than others meaning participants can expect to reach speeds of up to 40mph. A competitor loses control and ends upside-down. Photo: Keith Gluyas. The event, which raises, up to £15,000 annually, will this year support the Ludlow Ukrainian Refugee Support Group, The Hope Centre in Bromyard, and Ludlow’s Men in Sheds. The Soap box Derby starts at 10am on 26th June, tickets are £5 per adult on the gate, children under 16 are free of charge. The Richards Castle Soap Box Derby will take place this Sunday Kate Tudge, committee member for the Richards Castle Soap box Derby said: ""We are enormously looking forward to welcoming everybody back to the races this year after narrowly missing out on holding the event last summer. ""We have a record number of entrants this year and we cant wait for the racing to start.""",Richards Castle,herefordtimes.com,"Herefordshire, County of",Shropshire,Shropshire,,Herefordshire,The article states Richards Castle is on the border of Herefordshire and Shropshire.
gemma2:latest,0.75,"Easier access to your trusted, local news. Subscribe to a digital package and support local news publishing. FORRES Mechanics manager Gordon Connelly has said there are ""so many pluses"" after his side's 1-0 defeat against Formartine United. After back-to-back 7-0 home losses in his first two games in charge, followed by a 2-0 defeat at Wick Academy, Connelly was encouraged by the performance in the defeat to Formartine at Mosset Park. A sixth minute goal from Stuart Smith was enough to give the visitors the three points, but the Cans competed well throughout. Connelly said: ""So many pluses have come out of the game. ""You can see their fitness levels have improved since we came in and that was a big issue. ""And I actually think the players enjoyed it. They gave us energy, we've just not got the luck in front of goals but I can't fault the effort."" Midfielder Jack Maley, formerly of Rothes, was a new face in the starting line-up for Mechanics, who were behind early on. A Kevin Hanratty cross was headed in at the near post by Formartine defender Stuart Smith to give the visitors the advantage. Forres' first chance came after 18 minutes, with new man Maley finding Callum Johnston whose shot was almost let slip by Ewan Macdonald. Moments later Jack Grant knocked just wide at the near post after a Dale Wood cross. Graeme Rodger had a couple of chances for the visitors before the break, with their best chance coming courtesy of Kevin Hanratty, but his shot was brilliantly blocked by Graham Fraser. Into the second half and the Cans scrapped away, with Lee Fraser's shot at the end of a good counter attack being blocked on the hour mark. Goalkeeper Lee Herbert had to be sharp to deny Rodger on 70 minutes, while substitute Jonny Smith headed just wide for Formartine on 84 minutes. Smith had the ball in the net from a free-kick three minutes later but was adjudged to have been in an offside position. The final chance fell the way of Daniel Park, who cut inside from 25 yards and fired a well-hit effort into the sidenetting. Mechanics have now lost four in a row under their new management team, without scoring. A trip to Strathspey Thistle on Saturday, before a home tie with Fort William after Christmas, gives the Cans the chance to change that. Connelly added: ""There are no easy games. The pyramid system has switched all teams on to the fear of losing and going down because there might not be a route back. ""We don't have the right to beat anybody. Strathspey were unlucky at Wick so they'll be a tough game. ""But it's one we go into with a bit of confidence so we'll hope to build on that.""",Rothes,forres-gazette.co.uk,Moray,Moray,Moray,,Moray,"The article mentions Rothes and Forres Mechanics, both teams located in Moray."
gemma2:latest,0.75,"The ZOE Covid Symptom study, a research project with analysis from King’s College London, discovered that people who have tested positive for Covid-19 after being fully vaccinated are experiencing symptoms that could be confused with Hay Fever or a common cold. The three main recognised symptoms of Covid-19 are a high temperature, a new, continuous cough and a loss or change to your sense of smell or taste. But according to the ZOE Covid Symptom Study, those fully vaccinated have reported symptoms such as: headache runny nose sneezing sore throat A total of 33,874,176 people have received both doses of the vaccine in the UK as of July 5. Research has shown the vaccines help reduce a person’s risk of getting seriously ill or dying from Covid-19 as well as reducing the risk of catching or spreading the virus. Image: PA The first dose should give you some protection around three or four weeks after you have been jabbed, but you need two doses for stronger and longer-lasting protection. The study states: “The previous ‘traditional’ symptoms as still outlined on the government website, such as anosmia (loss of smell), shortness of breath and fever rank way down the list, at 11, 29 and 12 respectively. A persistent cough now ranks at number 8 if you’ve had two vaccine doses, so is no longer the top indicator of having Covid. “Curiously, we noticed that people who had been vaccinated and then tested positive for COVID-19 were more likely to report sneezing as a symptom compared with those without a jab. “If you’ve been vaccinated and start sneezing a lot without an explanation, you should get a COVID test, especially if you are living or working around people who are at greater risk from the disease.” More than 45 million people have received a first dose of the vaccine and the top five symptoms have changed for those with one jab. These are the most common symptoms people with one dose of the vaccine are experiencing: Headache Runny nose Sore throat Sneezing Persistent cough Currently, you can only get an NHS COVID test if you have a cough, fever or loss of smell. But you can get a test through the ZOE COVID Symptom Study if you log any of the known symptoms in the study’s app. If you’ve been vaccinated and start sneezing a lot without an explanation, the research suggests you should stay home and get a COVID test, especially if you’re living or working around people who are at greater risk from the disease. Get more Salisbury news. You can also like our Facebook page and follow us on Twitter and Instagram to stay up to date. If you want online news with fewer ads, unlimited access and reader rewards - plus a chance to support our local journalism - find out more about registering or a digital subscription. Email newsdesk@salisburyjournal.co.uk with your comments, pictures, letters and news stories.",Salisbury,lancashiretelegraph.co.uk,Blackburn with Darwen,LAD not in options,Wiltshire,,Salisbury,The article states 'Get more Salisbury news.'
